session,group,family,label,x,topology_seed,n_neurons,rate_hz,n_events,events_per_min,mean_participation,mean_duration_ms,max_duration_ms,mean_ibi_ms,n_full,max_ko_mM,mean_ko_mM,duration_ms
sweep_c50_seed01,c50,kclear,kclear_tau00200,200.0,1,926,0.28252939764818813,29,9.666666666666666,0.3052431667535563,118.27586206896552,255.0,6130.982142020996,10,4.07455826368658,3.9973466940792246,180000.0
sweep_c50_seed01,c50,both,both_tau00200,200.0,1,926,1.7159107271418286,73,24.333333333333332,0.9847332761324298,415.75342465753425,595.0,2473.8319441111694,72,4.304122954914255,4.044461018972279,180000.0
sweep_c50_seed01,c50,kclear,kclear_tau12000,12000.0,1,926,0.2584113270938325,30,10.0,0.282361411087113,139.0,315.0,5911.424137123713,9,5.308950870699184,5.237746449803259,180000.0
sweep_c50_seed01,c50,both,both_tau12000,12000.0,1,926,0.7785037197024238,10,3.3333333333333335,0.14136069114470842,123.5,260.0,15458.291664875313,0,16.270857533252567,15.940528278690133,180000.0
sweep_c50_seed01,c50,fourap,fourap_00.0mM,0.0,1,926,0.28252939764818813,29,9.666666666666666,0.3052431667535563,118.27586206896552,255.0,6130.982142020996,10,4.07455826368658,3.9973466940792246,180000.0
sweep_c50_seed01,c50,fourap,fourap_00.2mM,0.2,1,926,0.28588312934965204,36,12.0,0.33600311975041997,129.16666666666666,280.0,4843.002856488042,16,4.074598960372937,3.9973581415731543,180000.0
sweep_c50_seed01,c50,fourap,fourap_00.5mM,0.5,1,926,0.28251139908807293,33,11.0,0.26814582106158785,115.60606060606061,285.0,5301.348436782491,9,4.076668109160387,3.997283734513791,180000.0
sweep_c50_seed01,c50,fourap,fourap_01.0mM,1.0,1,926,0.2842272618190545,35,11.666666666666666,0.35168157975933356,146.57142857142858,495.0,5054.630881662576,15,4.07716700595948,3.9972807631343557,180000.0
sweep_c50_seed01,c50,fourap,fourap_02.0mM,2.0,1,926,0.2854631629469642,36,12.0,0.3116150707943365,113.61111111111111,295.0,4952.029999319737,13,4.077192157215501,3.9972586703895328,180000.0
sweep_c50_seed01,c50,fourap,fourap_04.0mM,4.0,1,926,0.2838012958963283,29,9.666666666666666,0.30654651076189765,110.17241379310344,200.0,6134.743749162173,8,4.089147607723463,3.9972082631550028,180000.0
