condition,neuron,population,rate_hz,tp_pre,fp_pre,tp_post,fp_post,predicted_out
normal,291,E5,1.4211,2,11,6,22,13
normal,292,E5,1.63,4,18,10,19,22
normal,293,E5,1.6689,8,24,9,25,32
normal,294,E5,1.8167,7,30,6,25,37
normal,295,E5,1.4411,7,22,10,17,29
normal,296,E5,1.5489,8,8,11,30,16
normal,297,E5,1.4644,6,8,13,25,14
normal,298,E5,1.36,2,13,11,17,15
normal,299,E5,1.6333,10,22,4,18,32
normal,300,E5,1.7356,9,33,17,27,42
normal,301,E5,1.4267,6,13,11,16,19
normal,302,E5,1.3722,6,16,8,21,22
mauve,0,E2,2.1622,10,4,10,7,14
mauve,1,E2,2.1656,23,20,15,11,43
mauve,2,E2,2.1644,14,6,16,12,20
mauve,3,E2,2.12,1,3,10,5,4
mauve,4,E2,2.1656,16,6,13,9,22
mauve,5,E2,2.1644,20,7,14,7,27
mauve,6,E2,2.1667,20,8,10,14,28
mauve,7,E2,2.1622,4,2,14,10,6
mauve,8,E2,2.1567,0,5,8,7,5
mauve,9,E2,2.15,4,2,14,5,6
mauve,10,E2,2.1644,17,6,13,9,23
mauve,11,E2,2.1644,18,4,13,7,22
mauve,12,E2,2.1644,24,9,13,8,33
mauve,13,E2,2.1556,4,3,9,7,7
mauve,14,E2,2.1567,4,7,11,5,11
mauve,15,E2,2.1644,22,14,16,15,36
mauve,16,E2,2.1644,15,7,13,18,22
mauve,17,E2,2.1644,35,18,15,8,53
mauve,18,E2,2.1611,9,2,14,6,11
mauve,19,E2,2.1578,12,1,11,9,13
mauve,20,E2,2.1044,1,14,7,5,15
mauve,21,E2,2.1478,5,1,13,4,6
mauve,22,E2,2.1478,9,3,14,10,12
mauve,23,E2,2.1589,7,5,9,10,12
mauve,24,E2,2.1611,15,6,14,7,21
mauve,25,E2,2.1667,16,53,14,19,69
mauve,26,E2,2.1667,25,24,16,14,49
mauve,27,E2,2.1667,19,9,13,9,28
mauve,28,E2,2.1656,9,16,13,18,25
mauve,29,E2,2.16,12,6,12,12,18
mauve,30,E2,2.1489,3,9,9,9,12
mauve,31,E2,2.1578,4,3,10,9,7
mauve,32,E2,2.1533,2,3,15,6,5
mauve,33,E2,2.1667,28,14,12,15,42
mauve,34,E2,2.1556,2,3,10,6,5
mauve,35,E2,2.1678,13,25,7,15,38
mauve,36,E2,2.1644,5,1,7,6,6
mauve,37,E2,2.1667,32,18,12,14,50
mauve,38,E2,2.0567,0,9,6,8,9
mauve,39,E2,2.0911,2,11,10,2,13
mauve,40,E2,2.1667,13,12,12,13,25
mauve,41,E2,2.16,6,3,11,8,9
mauve,42,E2,2.1667,20,21,17,17,41
